"","survey_id","site","species","n","range","time","minutes","seconds","days.x","...10","...11","fid","id","weather","start_time","habitat","dom_veg","patch_id","elevation","days.y","sector","start_time_padded","start_time.dec","pres","days"
"248","Woodland_54","Woodland_54","chaffinch",2,26.3,12,12,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"249","Woodland_54","Woodland_54","willow_warbler",2,46170,1,1,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"250","Woodland_54","Woodland_54","willow_warbler",1,17.1,0,0,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"253","Woodland_58","Woodland_58","great_tit",2,12.1,11.2833333333333,11,17,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"254","Woodland_58","Woodland_58","great_tit",1,14,26.0833333333333,26,5,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"255","Woodland_58","Woodland_58","mistle_thrush",1,14.2,10.5,10,30,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"256","Woodland_58","Woodland_58","chaffinch",1,13.6,12.65,12,39,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"257","Woodland_58","Woodland_58","great_tit",1,11.5,17.6833333333333,17,41,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"258","Woodland_58","Woodland_58","great_tit",2,22.2,8.26666666666667,8,16,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"259","Woodland_58","Woodland_58","common_redstart",1,7.3,0.283333333333333,0,17,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
"260","Woodland_58","Woodland_58","chaffinch",1,7.3,12.0833333333333,12,5,7,NA,NA,27,NA,"Overcast, mild",851,"5","Oak, feathermoss",NA,NA,NA,"Rahoy","0851",8.85,1,7
